m1_surv,m2_surv
0.32098,0.83299
0.32068,0.83299
0.32038,0.83138
0.32007,0.83138
0.31977,0.83138
0.31947,0.83138
0.31917,0.83058
0.31887,0.83058
0.31857,0.83058
0.31826,0.83058
0.31796,0.83058
0.31766,0.83058
0.31736,0.83058
0.31706,0.83058
0.31677,0.83058
0.31647,0.83058
0.31617,0.83058
0.31587,0.83058
0.31557,0.83058
0.31527,0.83058
0.31498,0.83058
0.31468,0.83058
0.31438,0.83058
0.31408,0.83058
0.31379,0.83058
0.31349,0.83058
0.3132,0.83058
0.3129,0.83058
0.3126,0.83058
0.31231,0.83058
0.31201,0.83058
0.31172,0.82978
0.31143,0.82978
0.31113,0.82978
0.31084,0.82978
0.31054,0.82978
0.31025,0.82978
0.30996,0.82978
0.30967,0.82978
0.30937,0.82978
0.30908,0.82897
0.30879,0.82897
0.3085,0.82897
0.30821,0.82897
0.30792,0.82897
0.30763,0.82897
0.30734,0.82736
0.30705,0.82736
0.30676,0.82655
0.30647,0.82574
0.30618,0.82574
0.30589,0.82574
0.3056,0.82574
0.30531,0.82493
0.30502,0.82493
0.30473,0.82493
0.30445,0.82493
0.30416,0.82493
0.30387,0.82493
0.30358,0.82493
0.3033,0.82493
0.30301,0.82493
0.30273,0.82493
0.30244,0.82411
0.30215,0.82411
0.30187,0.82411
0.30158,0.82411
0.3013,0.82411
0.30102,0.82411
0.30073,0.82411
0.30045,0.82411
0.30016,0.82411
0.29988,0.82411
0.2996,0.82411
0.29931,0.82411
0.29903,0.82411
0.29875,0.82411
0.29847,0.8233
0.29819,0.8233
0.2979,0.8233
0.29762,0.8233
0.29734,0.8233
0.29706,0.8233
0.29678,0.8233
0.2965,0.8233
0.29622,0.8233
0.29594,0.8233
0.29566,0.8233
0.29538,0.8233
0.2951,0.8233
0.29483,0.8233
0.29455,0.8233
0.29427,0.8233
0.29399,0.8233
0.29371,0.8233
0.29344,0.8233
0.29316,0.8233
0.29288,0.8233
0.29261,0.82247
0.29233,0.82247
0.29205,0.82247
0.29178,0.82247
0.2915,0.82247
0.29123,0.82247
0.29095,0.82247
0.29068,0.82247
0.2904,0.82247
0.29013,0.82247
0.28986,0.82247
0.28958,0.82247
0.28931,0.82164
0.28904,0.82164
0.28876,0.82164
0.28849,0.82164
0.28822,0.82164
0.28795,0.82164
