"","parameter","m1_cancer_beta","m1_noncancer_beta","m2_cancer_beta","m2_noncancer_beta","m1_cancer_mean","m1_noncancer_mean","m2_cancer_mean","m2_noncancer_mean","power","ln_1","ln_2","m1_surv","m2_surv","m1_surv","m2_surv","parameter","m1_cancer_beta","m1_noncancer_beta","m2_cancer_beta","m2_noncancer_beta","m1_cancer_mean","m1_noncancer_mean","m2_cancer_mean","m2_noncancer_mean","power","ln_1","ln_2","m1_surv","m2_surv","m1_surv","m2_surv"
"66","DTYPE=2*RAGE",0,0,0.03521,0.0073,0,0,0,0,1,0,0,0.98043,0.96598,0.89259,0.9474,"DTYPE=2*RAGE",0,0,0,0,0,0,0,0,1,0,0,0.9715,0.96255,0.90968,0.95093
"67","DTYPE=2*LN(RCREATININE)",0,0,-0.7407,-0.79467,0,0,0,0,1,0,1,0.98043,0.96598,0.89259,0.9474,"DTYPE=2*LN(RCREATININE)",0,0,0,-0.77412,0,0,0,0,1,0,1,0.97107,0.9619,0.90846,0.95093
"68","RDISEASE GROUP=2*DTYPE=2",0,0,0,-0.26206,0,0,0,0,1,0,0,0.98043,0.96598,0.8916,0.94686,"RDISEASE GROUP=2*DTYPE=2",0,0,0,0,0,0,0,0,1,0,0,0.97064,0.9619,0.90724,0.95063
"69","RDISEASE GROUP=4*DTYPE=2",0,0,0,-0.3901,0,0,0,0,1,0,0,0.98043,0.96598,0.89009,0.94659,"RDISEASE GROUP=4*DTYPE=2",0,0,0,0,0,0,0,0,1,0,0,0.97021,0.96126,0.90602,0.95048
"70","RDISEASE GROUP=5*DTYPE=2",0,0,0,0.0822,0,0,0,0,1,0,0,0.97945,0.96598,0.88952,0.94659,"RDISEASE GROUP=5*DTYPE=2",0,0,0,0,0,0,0,0,1,0,0,0.96978,0.96126,0.90482,0.95048
"71","RDISEASE GROUP=6*DTYPE=2",0,0,0,-0.24764,0,0,0,0,1,0,0,0.97945,0.96598,0.88818,0.94659,"RDISEASE GROUP=6*DTYPE=2",0,0,0,0,0,0,0,0,1,0,0,0.96935,0.96126,0.90361,0.95048
"72","RDISEASE GROUP=7*DTYPE=2",0,0,0,-0.73028,0,0,0,0,1,0,0,0.97945,0.9648,0.88774,0.94632,"RDISEASE GROUP=7*DTYPE=2",0,0,0,0,0,0,0,0,1,0,0,0.96891,0.96061,0.90241,0.95017
"73","RDISEASE GROUP=8*DTYPE=2",0,0,0,0.41517,0,0,0,0,1,0,0,0.97945,0.9648,0.88629,0.94632,"RDISEASE GROUP=8*DTYPE=2",0,0,0,0,0,0,0,0,1,0,0,0.96848,0.96061,0.90121,0.94956
"74","RDISEASE GROUP=9*DTYPE=2",0,0,0,-0.68482,0,0,0,0,1,0,0,0.9774,0.9648,0.88469,0.94632,"RDISEASE GROUP=9*DTYPE=2",0,0,0,0,0,0,0,0,1,0,0,0.96805,0.96061,0.90001,0.94941
"75","RDISEASE GROUP=10*DTYPE=2",0,0,0,-0.41539,0,0,0,0,1,0,0,0.9774,0.9648,0.88244,0.94605,"RDISEASE GROUP=10*DTYPE=2",0,0,0,0,0,0,0,0,1,0,0,0.96762,0.96061,0.89881,0.94926
"76","BLOOD GROUP COMPATIBILITY",0,0,1.26327,0.16495,0,0,0,0,1,0,0,0.9774,0.9648,0.87996,0.94578,"BLOOD GROUP COMPATIBILITY",0,0,0.66765,0,0,0,0,0,1,0,0,0.96719,0.96061,0.89762,0.9491
"77","LIVER MEETS SPLIT CRITERIA",0,0,0.42794,0.36079,0,0,0,0,1,0,0,0.9774,0.9648,0.87941,0.94551,"LIVER MEETS SPLIT CRITERIA",0,0,0.64661,0.26395,0,0,0,0,1,0,0,0.96676,0.96061,0.89642,0.94895
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9774,0.9648,0.87761,0.94551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96633,0.96061,0.89523,0.94895
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9774,0.96361,0.87573,0.94551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9659,0.95996,0.89404,0.94895
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9774,0.96361,0.87487,0.94551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96547,0.95931,0.89285,0.94895
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97527,0.96361,0.8737,0.94551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96504,0.95867,0.89166,0.94895
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.973,0.96361,0.87093,0.94551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96462,0.95867,0.89048,0.94895
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972,0.96361,0.87093,0.94497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96419,0.95867,0.88929,0.94864
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96956,0.96361,0.87035,0.9447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96376,0.95867,0.88811,0.94849
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96956,0.96361,0.8695,0.94443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96333,0.95867,0.88693,0.94834
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96956,0.96361,0.8695,0.94443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9629,0.95867,0.88575,0.94834
